,Names,Date,Month,Location,Notes,Link
116,Cal Hacks,Oct 15th - 16th,Oct,"
          San Francisco,
          California
        ",in_person,https://calhacks.io/
117,Girls Hoo Hack,Oct 15th - 16th,Oct,"
          Charlottesville,
          Virginia
        ","Hybrid, Digital Focus",https://gwcuva.com/hack
118,HackTX,Oct 15th - 16th,Oct,"
          Austin ,
          Texas
        ",in_person,https://hacktx.com
119,HACKUIOWA 2022,Oct 15th - 16th,Oct,"
          Iowa City,
          Iowa
        ",in_person,https://hack.uiowa.edu/
120,Kent Hack Enough,Oct 15th - 16th,Oct,"
          Kent,
          Ohio
        ",in_person,https://khe.io/
121,SacHacks,Oct 15th - 16th,Oct,"
          Sacramento,
          California
        ",online,https://sachacks.io/
122,Technica,Oct 15th - 16th,Oct,"
          College Park,
          Maryland
        ",hybrid,https://gotechnica.org/
123,DeepDiveHacks,Oct 21st - 23rd,Oct,"
          APAC Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8673-deepdivehacks
124,HackGT 9,Oct 21st - 23rd,Oct,"
          Atlanta,
          Georgia
        ",in_person,https://2022.hack.gt/
125,Hack or Treat 2,Oct 21st - 23rd,Oct,"
          North American Timezone,
          Online
        ",online,https://organize.mlh.io/participants/events/8404-hack-or-treat-2
126,Pitt Challenge,Oct 21st - 22nd,Oct,"
          Pittsburgh,
          Pennsylvania
        ",in_person,https://pittchallenge.com/
127,UNT NSBEHack,Oct 21st - 22nd,Oct,"
          Denton,
          Texas
        ",in_person,https://untnsbepresident.wixsite.com/my-site
128,VandyHacks IX,Oct 21st - 23rd,Oct,"
          Nashville,
          Tennessee
        ",in_person,https://vandyhacks.org/
129,DubHacks,Oct 22nd - 23rd,Oct,"
          Seattle,
          Washington
        ",in_person,https://dubhacks.co
130,HackDuke,Oct 22nd - 23rd,Oct,"
          Durham,
          North Carolina
        ",in_person,https://2022.hackduke.org/
131,MakeUC,Oct 22nd - 23rd,Oct,"
          Cincinnati,
          Ohio
        ",hybrid,https://makeuc.io/
